repo	tot	clojure	js	cljs	ts	elm	css	html	json	yaml	md
clojurescript-reframe-realworld-example-app	1159	49	9	987	0	0	0	22	48	0	44
apprun-realworld-example-app	1254	0	38	0	1017	0	0	34	110	0	55
clojurescript-keechma-realworld-example-app	1382	51	0	1291	0	0	0	15	13	0	12
angularjs-realworld-example-app	1636	0	1074	0	0	0	0	523	25	0	14
realworld	1865	0	294	0	0	0	0	1010	78	22	461
crizmas-mvc-realworld-example-app	2009	0	1898	0	0	0	11	23	36	0	41
react-mobx-realworld-example-app	2029	0	1937	0	0	0	0	15	33	0	44
react-redux-realworld-example-app	2141	0	2048	0	0	0	0	15	31	0	47
angular-realworld-example-app	2466	0	57	0	1485	0	9	550	318	0	47
elm-spa-example	2953	0	0	0	0	2856	0	27	26	29	15
